###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57828.277683 -22.235  5.500    -5   26 o  0   0.80  74.64332  -8.30110  2094.76  5174.27 3.95 3.68  73.4 -0.433 18.48 19.86 02a57828o0113o
57828.292732  22.278 10.600     4   47 o  0   1.13  74.64332  -8.30110  2077.91  5132.24 3.94 3.68  75.8 -0.431 17.63 18.88 02a57828o0142o
57828.302883  20.840  3.100    17   52 o  0   1.09  74.64332  -8.30110  2134.73  5209.00 3.98 3.70  79.6 -0.421 17.68 18.94 02a57828o0162o
57828.313390 -20.686  2.929   -19   56 o  0   0.89  74.64332  -8.30110  2155.76  5090.93 3.88 3.75  85.8 -0.425 17.77 18.90 02a57828o0183o
57828.325599  17.659  0.701   314  220 o  0   1.15  74.64332  -8.30110  2116.62  5147.57 3.82 3.53  87.6 -0.444 16.51 17.26 02a57828o0206o
57832.272591 -21.784  3.917    -7   28 o  0   1.14  74.64332  -8.30110  4709.84  5172.19 5.12 3.98  -0.3 -0.353 18.11 19.56 02a57832o0102o
57832.288103 -20.149  0.873   -32   28 o  0   1.25  74.64332  -8.30110  4687.76  5132.06 5.02 3.91   0.2 -0.367 18.10 19.53 02a57832o0132o
57832.301584 -20.669  1.229   -20   24 o  0   1.15  74.64332  -8.30110  4746.40  5208.37 3.62 3.58 -72.4 -0.418 18.30 19.46 02a57832o0158o
57832.311684 -22.650  9.143    -3   29 o  0   0.90  74.64332  -8.30110  4765.62  5091.64 3.84 3.62  -2.8 -0.431 18.25 19.48 02a57832o0178o
57832.323407 -21.396  2.375   -10   24 o  0   1.03  74.64332  -8.30110  4726.16  5150.27 3.64 3.57 -86.8 -0.412 18.25 19.44 02a57832o0201o
57836.245212 -20.414  0.808   -25   20 c  0   1.00  74.64332  -8.30110  1553.59  3889.50 4.39 3.92  75.4 -0.399 18.70 20.42 02a57836o0033c
57836.257288 -21.246  1.792   -12   21 c  0   1.23  74.64332  -8.30110  1609.95  3966.42 4.33 3.96  79.0 -0.400 18.70 20.45 02a57836o0056c
57836.273097 -20.603  1.095   -21   23 c  0   0.91  74.64332  -8.30110  1633.49  3847.69 4.37 3.98  82.2 -0.392 18.66 20.41 02a57836o0086c
57836.288406  19.874  0.545    41   22 c  0   1.11  74.64332  -8.30110  1597.57  3902.34 4.45 4.19  86.1 -0.364 18.55 20.28 02a57836o0115c
57840.232969  19.731  0.670    46   31 c  0   0.93  74.64332  -8.30110  1794.13  3507.99 4.04 3.65  69.2 -0.442 18.35 19.49 02a57840o0009c
57840.249834 -20.829  1.150   -17   20 c  0   1.01  74.64332  -8.30110  1830.42  3545.50 4.08 3.64  70.2 -0.394 18.73 20.33 02a57840o0041c
57840.262961  22.723  7.000     3   21 c  0   1.09  74.64332  -8.30110  1849.18  3427.62 4.06 3.67  73.6 -0.385 18.69 20.28 02a57840o0066c
57840.278651  21.089  1.633    13   22 c  0   1.00  74.64332  -8.30110  1812.81  3482.77 4.06 3.74  74.9 -0.380 18.66 20.29 02a57840o0096c
57844.231181  19.575  1.054    54   57 c  0   1.01  74.64332  -8.30110  3889.66  3641.25 3.87 3.65  80.1 -0.420 18.46 19.43 02a57844o0002c
57844.234829 -21.802  5.588    -7   39 c  0   0.91  74.64332  -8.30110  3872.48  3600.24 3.85 3.64  80.9 -0.406 18.77 20.02 02a57844o0009c
57844.241595 -20.042  0.690   -35   24 c  0   1.52  74.64332  -8.30110  3929.13  3676.72 3.88 3.67  80.7 -0.384 18.98 20.46 02a57844o0022c
57844.250995 -20.410  0.964   -25   24 c  0   1.42  74.64332  -8.30110  3949.06  3559.68 4.10 3.88  83.2 -0.359 18.93 20.51 02a57844o0040c
57844.264014  20.558  1.260    22   27 c  0   1.10  74.64332  -8.30110  3908.92  3616.16 3.99 3.82  83.6 -0.361 18.89 20.43 02a57844o0065c
57971.579349  18.865  0.913   103   94 o  0   0.79  74.64332  -8.30110  2307.80  5001.40 3.55 2.91  89.6 -0.434 17.36 18.09 01a57971o0689o
57971.588279 -18.549  0.381  -138   53 o  0   1.11  74.64332  -8.30110  2356.92  5071.19 3.60 2.98  89.4 -0.435 17.94 18.79 01a57971o0706o
57971.597462  20.053  1.099    35   38 o  0   0.88  74.64332  -8.30110  2368.25  4945.26 3.55 2.91  89.3 -0.437 18.29 19.13 01a57971o0723o
57992.585157 -24.317 22.667    -1   15 o  0   0.86  74.64332  -8.30110  4760.99  8877.91 3.39 3.00 -77.8 -0.435 19.14 20.77 01a57992o0632o
57992.592234  21.901  2.188     6   14 o  0   1.08  74.64332  -8.30110  4741.60  8823.88 3.17 2.76 -73.7 -0.451 19.27 20.86 01a57992o0646o
57992.599778  21.037  0.938    14   13 o  0   0.96  74.64332  -8.30110  4796.94  8883.73 3.32 2.88 -78.6 -0.451 19.27 20.98 01a57992o0661o
